Modelo,Accuracy,Precision,Recall,F1,ROC-AUC
Logistic Regression,0.7537826685006878,0.5137457044673539,0.7994652406417112,0.6255230125523012,0.843871311150723
Random Forest,0.7737276478679505,0.5623268698060941,0.5427807486631016,0.5523809523809524,0.8179528124381067
